Food_ID,Food Name and Description,Scientific Name,Alternate/Common Name(s),Edible Portion,Energy (kcal),Protein (g),Fat (g),Carbs (g)
A001,"Corn grits, white",Zea mays,"Mais, durog, puti",100%,357,8.3,1.5,77.5
A002,"Corn grits, yellow",Zea mays,"Mais, durog, dilaw",100%,350,7.7,0.8,78.1
A003,"Corn on cob, white",Zea mays,"Mais sa busal, puti",30%,148,4.4,0.8,30.9
A004,"Corn on cob, yellow",Zea mays,"Mais sa busal, dilaw",39%,173,4.4,1.5,35.4
A005,"Corn on cob, yellow, boiled",Zea mays,"Mais sa busal, dilaw, nilaga",54%,167,3.3,1.2,35.7
A006,"Cornmeal, white",Zea mays,"Mais, giniling, puti",100%,353,7.6,0.6,79.2
A007,"Cornmeal, yellow",Zea mays,"Mais, giniling, dilaw",100%,371,8.5,3.2,77.0
A008,Job's tears grain,Coix lacryma-jobi,Adlay/Tigbe butil,100%,368,13.1,2.5,73.3
A009,"Millet, glutinous",Panicum miliaceum,N/A,100%,353,10.3,2.5,72.3
A010,Rice bran,Oryza sativa,Darak,100%,316,7.8,5.0,59.9
A011,"Rice, glutinous, parboiled, flattened",Oryza sativa,Pinipig,100%,340,4.3,1.0,78.5
A012,"Rice, milled, glutinous",Oryza sativa,"Bigas, malagkit",100%,355,6.9,0.8,80.1
A013,"Rice, milled, glutinous, milled w/ water",Oryza sativa,"Bigas, malagkit, galapong",100%,210,4.4,0.1,47.9
A014,"Rice, undermilled",Oryza sativa,Brown rice/Pinawa,100%,363,8.1,2.8,76.3
A015,"Rice, undermilled, glutinous, purple",Oryza sativa,"Bigas, malagkit, pirurutong",100%,358,8.7,2.0,76.3
A016,"Rice, undermilled, glutinous, purple, boiled",Oryza sativa,"Bigas, malagkit, pirurutong, sinaing",100%,124,2.4,0.4,27.8
A017,"Rice, undermilled, red",Oryza sativa,"Bigas, mapula",100%,358,7.5,0.9,80.0
A019,"Rice, well-milled",Oryza sativa,"Bigas, maputi",100%,356,7.4,0.5,80.4
A020,"Rice, well-milled, boiled",Oryza sativa,"Bigas, maputi, sinaing",100%,129,2.1,0.2,29.7
A021,"Rice, well-milled, fried",N/A,"Bigas, maputi, sinangag",100%,187,2.6,4.0,35.2
A022,Rice-corn mixture (1:1),N/A,Bigas-mais pinaghalo (1:1),100%,366,7.5,1.0,81.8
A023,"Rice-corn mixture (1:1), boiled",N/A,"Bigas-mais pinaghalo (1:1), sinaing",100%,96,2.2,0.3,21.0
A024,Sorghum,Sorghum bicolor,"Batad/Batag, butil",100%,382,9.5,3.9,77.1
A025,"Sorghum, boiled",Sorghum bicolor,"Batad/Batag, butil, nilaga",100%,150,3.5,1.0,31.7
A026,"Ampaw, pinipig",N/A,N/A,100%,392,3.1,1.6,91.3
A027,"Ampaw, rice",N/A,N/A,100%,385,4.5,2.1,87.1
